company,brand,homepage,calling_plan,mobile_carrier,category,data_speed,data_category,data_unit,call,call_unit,unlimited_free,message,message_unit,data1,data2,pay,promo_pay,saled_pay1,saled_pay2,saled_pay3,sales_pay1,condition1,sales_pay2,condition2,sales_pay3,condition3,etc1,etc2,etc3,activation,update_date,create_date
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 청소년윙 23,KT,usim,LTE,1500,월,34000,윙,N,20000,윙,1500,,23100,23100,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 VOD USIM 500MB,KT,usim,LTE,500,월,50,분,N,0,건,500,,15000,15000,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 VOD USIM 1.5GB,KT,usim,LTE,1500,월,200,분,N,200,건,1500,,20500,20500,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 VOD USIM 3GB,KT,usim,LTE,3000,월,200,분,N,200,건,3000,,27500,27500,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 VOD USIM 6GB,KT,usim,LTE,6000,월,180,분,N,180,건,6000,,38500,38500,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,LTE USIM 복지 19,KT,usim,LTE,1500,월,200,분,N,200,건,1500,,20900,20900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 패드 USIM 1GB,KT,tablet,LTE,1000,월,0,분,N,0,건,1000,,9900,9900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 패드 USIM 2GB,KT,tablet,LTE,2000,월,0,분,N,0,건,2000,,14300,14300,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 패드 USIM 3GB,KT,tablet,LTE,3000,월,0,분,N,0,건,3000,,16500,16500,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 패드 USIM 6GB,KT,tablet,LTE,6000,월,0,분,N,0,건,6000,,22000,22000,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 패드 USIM 10GB,KT,tablet,LTE,10000,월,0,분,N,0,건,10000,,31900,31900,,,,,,,,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 어르신 1,SKT,usim,LTE,100,월,30,분,N,30,건,100,,6490,6490,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 음성 S1,SKT,usim,LTE,100,월,60,분,N,50,건,100,,9900,9900,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 어르신 2,SKT,usim,LTE,300,월,100,분,N,100,건,300,,11000,11000,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 음성 S2,SKT,usim,LTE,100,월,90,분,N,50,건,100,,13200,13200,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 데이터 S1,SKT,usim,LTE,500,월,60,분,N,0,건,500,,14300,14300,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 어르신 3,SKT,usim,LTE,500,월,999999,분,N,999999,건,500,,16500,16500,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE온라인500MB,SKT,usim,LTE,500,월,30,분,N,0,건,500,,11000,11000,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 음성 S3,SKT,usim,LTE,300,월,120,분,N,50,건,300,,16500,16500,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 데이터 S2,SKT,usim,LTE,1000,월,60,분,N,0,건,1000,,17600,17600,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 효신 LEVEL1,SKT,usim,LTE,100,월,120,분,N,500,건,100,,19800,19800,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 공부 LEVEL1,SKT,usim,LTE,0,월,60,분,N,1200,건,0,,23100,23100,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 음성 S4,SKT,usim,LTE,300,월,150,분,N,50,건,300,,19800,19800,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 데이터 S3,SKT,usim,LTE,2000,월,80,분,N,0,건,2000,,20900,20900,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 청소년 데이터,SKT,usim,LTE,650,월,0,분,N,0,건,650,"기본 제공 혜택 30,800원(데이터/음성/문자)",26400,26400,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 효신 LEVEL2,SKT,usim,LTE,100,월,150,분,N,750,건,100,,23100,23100,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE온라인1GB,SKT,usim,LTE,1000,월,50,분,N,0,건,1000,,16500,16500,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 음성 S5,SKT,usim,LTE,500,월,180,분,N,50,건,500,,23100,23100,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 공부 LEVEL2,SKT,usim,LTE,0,월,90,분,N,1800,건,0,,28600,28600,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 데이터 S4,SKT,usim,LTE,3000,월,80,분,N,0,건,3000,,25300,25300,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,데이터중심300MB_LTE,SKT,usim,LTE,300,월,999999,분,N,999999,건,300,,31790,31790,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 음성 S6,SKT,usim,LTE,1000,월,240,분,N,50,건,1000,,26400,26400,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,골프존 3GB,SKT,usim,LTE,3000,월,200,분,N,100,건,3000,,33000,33000,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE온라인2GB,SKT,usim,LTE,2000,월,80,분,N,50,건,2000,,22000,22000,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 데이터 S5,SKT,usim,LTE,4000,월,100,분,N,0,건,4000,,28600,28600,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,데이터중심1.2GB_LTE,SKT,usim,LTE,1200,월,999999,분,N,999999,건,1200,,36300,36300,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE 온라인 데이터 S6,SKT,usim,LTE,5000,월,100,분,N,0,건,5000,,31900,31900,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,NEW 청소년LTE34,SKT,usim,LTE,1000,월,0,분,N,0,건,1000,"기본 제공 혜택 37,400원(데이터/음성/문자)",29700,29700,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE온라인3GB,SKT,usim,LTE,3000,월,120,분,N,50,건,3000,,27500,27500,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,골프존 5GB,SKT,usim,LTE,5000,월,200,분,N,100,건,5000,,39600,39600,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,데이터중심2.2GB_LTE,SKT,usim,LTE,2200,월,999999,분,N,999999,건,2200,,42900,42900,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE온라인4.5GB,SKT,usim,LTE,4500,월,150,분,N,50,건,4500,,33000,33000,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,wavve 5GB,SKT,usim,LTE,5000,월,100,분,N,100,건,5000,,35200,35200,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,데이터중심3.5GB_LTE,SKT,usim,LTE,3500,월,999999,분,N,999999,건,3500,,48400,48400,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,LTE온라인6GB,SKT,usim,LTE,6000,월,150,분,N,50,건,6000,,38500,38500,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,데이터중심6.5GB_LTE,SKT,usim,LTE,6500,월,999999,분,N,999999,건,6500,,52800,52800,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,데이터중심11GB_LTE,SKT,usim,LTE,11000,월,999999,분,N,999999,건,11000,,62700,62700,,,,-12000,30000,-17000,70000,,,,,,Y,,
SK텔링크,세븐모바일,https://www.sk7mobile.com/,wavve 무제한,SKT,usim,LTE,11000,월,999999,분,N,999999,건,11000,,57200,57200,,,,-12000,30000,-17000,70000,,,,,,Y,,
